KIX,DLC
KIX,HYN
SHE,SZX
BKK,SYX
XUZ,XMN
SWA,TNA
CSX,XMN
CGO,NGB
DAT,TPE
ICN,YNT
INC,TNA
KMG,HKG
OSA,CGO
TYO,TNA
ZUH,ICN
TSN,HET
DLC,ICN
CKG,SHA
TSN,CGK
TNA,XMN
SQD,BKK
DDG,TPE
HET,TSN
TPE,KMG
FOC,ICN
XMN,HET
CGK,TNA
TPE,AKU
HGH,SZX
YNT,PEK
TAO,CKG
SIN,WUH
OSA,CGQ
ICN,NZH
CKG,PEK
SIN,KHG
TNA,SHA
KWE,TNA
SWA,SIN
JMU,TPE
MIG,ICN
KIX,URC
WNZ,TNA
HKG,DDG
TPE,CGO
CGO,CGK
KIX,ZUH
CGK,CTU
URC,KIX
MFM,CTU
KIX,SHA
CGK,SHA
PEK,HKG
XUZ,SHE
ZUH,PEK
NKG,NNG
DLC,HFE
WUS,ICN
TNA,HRB
ICN,HET
DAT,TNA
ICN,DAT
TPE,XIY
HET,TNA
XMN,LHW
URC,HGH
ICN,SHE
HET,ICN
SHA,SIN
HKG,KHG
NKG,CGK
HET,KIX
TPE,CTU
CTU,TPE
BKK,NKG
TPE,FOC
TAO,XMN
OSA,WUS
XMN,URC
XIY,KIX
